productid	brand	RAM_GB	HDD_GB	GHz	price
000394	Samsung	16	1000	3.2	90900
000828	Lenovo	8	2000	2.5	51900
000995	Acer	4	1000	2.3	44900
001009	HP	4	500	2.3	42900
001093	Acer	8	2000	2.3	58900
001230	MSI	16	500	3	63900
001247	Acer	8	500	2.5	57900
001894	HP	4	2000	1.8	42900
001999	DELL	8	500	2.3	71900
002370	Toshiba	16	2000	2.5	68900
002616	asus	16	500	1.8	40900
002642	Lenovo	16	500	3.2	62900
002742	Samsung	4	2000	3	67900
002829	Dell	16	500	3	87900
003097	asus	8	1000	2.3	51900
003141	asus	8	1000	3.2	74900
003186	asus	4	2000	1.8	46900
003399	Apple	8	500	2.5	116900
003720	Lenovo	16	500	2.5	45900
003726	Asus	8	500	1.8	42900
003904	DELL	4	1000	2.3	58900
004091	Microsoft	4	2000	2.3	57900
004159	Dell	4	500	3.2	86900
004318	Microsoft	8	500	2.3	44900
004591	Dell	4	1000	1.8	51900
004591	Dell	4	1000	1.8	51900
004826	Asus	16	2000	2.5	71900
004873	Microsoft	8	2000	2.3	56900
004945	Lenovo	8	500	2.3	30900
005789	Apple	4	2000	1.8	111900
005807	Dell	4	500	1.8	47900
005900	Toshiba	8	500	3	67900
005914	hp	8	2000	3.2	90900
006051	Apple	8	1000	2.3	115900
006649	Acer	16	2000	2.5	62900
006762	MSI	8	500	2.5	52900
007398	Lenovo	4	2000	2.5	43900
007420	Asus	16	2000	1.8	47900
007492	DELL	8	1000	2.3	68900
007639	DELL	8	1000	3	92900
007737	Dell	8	1000	2.5	72900
007865	MSI	16	2000	3	79900
007956	Asus	16	1000	3	74900
008169	hp	4	2000	1.8	36900
008193	MSI	8	1000	3.2	81900
008250	Lenovo	16	2000	3.2	70900
008274	hp	4	2000	3.2	76900
008464	HP	16	2000	3.2	85900
008479	MSI	16	500	2.3	49900
008784	DELL	16	1000	3	78900
008789	Asus	16	2000	1.8	51900
008983	Apple	4	500	3.2	123900
009358	asus	16	500	2.5	56900
009540	MSI	16	500	2.3	53900
009703	asus	8	2000	3	71900
009859	HP	4	1000	2.3	38900
010146	Apple	16	2000	2.5	132900
010470	DELL	4	1000	2.3	68900
010545	Acer	8	1000	2.3	50900
010725	Apple	4	1000	3.2	135900
010895	Lenovo	16	2000	1.8	41900
011008	Lenovo	8	1000	2.5	41900
011238	Samsung	4	2000	2.3	51900
011272	DELL	16	2000	1.8	61900
011412	Asus	16	1000	3	73900
011528	Lenovo	4	500	2.3	25900
011685	Apple	4	500	3	132900
011757	Acer	8	2000	3.2	91900
011787	Lenovo	16	2000	2.3	45900
011812	Toshiba	8	2000	2.5	63900
011967	Microsoft	16	1000	1.8	49900
012145	Dell	16	500	2.3	67900
012218	Lenovo	8	1000	2.5	46900
012322	hp	16	500	1.8	48900
012556	DELL	8	1000	3	80900
012954	HP	8	2000	3	77900
012979	HP	16	500	2.3	56900
013435	HP	4	1000	1.8	40900
013794	Lenovo	16	500	3	50900
014526	Acer	16	500	3.2	79900
014593	Dell	8	500	2.3	59900
014625	hp	16	500	1.8	49900
014884	Lenovo	4	2000	1.8	25900
015171	Dell	4	2000	3.2	88900
015344	hp	16	500	2.3	54900
015431	Asus	16	2000	2.3	62900
015470	MSI	16	1000	1.8	51900
015479	Asus	8	1000	3	67900
015604	Acer	8	1000	1.8	50900
016051	HP	8	2000	1.8	55900
016101	Asus	8	2000	1.8	51900
016280	Dell	8	500	3.2	88900
016478	Toshiba	16	500	3.2	82900
016689	Acer	4	2000	3	72900
016779	asus	16	2000	1.8	50900
016912	Toshiba	4	2000	2.3	52900
016943	Toshiba	4	2000	3	65900
017004	Microsoft	8	500	2.3	38900
017060	MSI	16	1000	2.3	57900
